cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,instruction_keyboard_response.started,static_isi.started,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_stimulus.started,dots_keyboard_response.started,dots_keyboard_response.keys,dots_keyboard_response.rt,feedback_text.started,feedback_text.stopped,instruction_main_text.started,instruction_main_keyboard_response.started,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,dots_background.stopped,dots_stimulus.stopped,dots_keyboard_response.stopped,debriefing_keyboard_response.started,Pseudonym,date,expName,psychopyVersion,frameRate,
right,left,,,,,0,50,50,36,,0.0011357919997863064,282.3107300839997,282.40752679199977,282.40752679199977,282.9066537919998,283.39292058399997,284.3861870420001,284.3861870420001,284.3861870420001,284.3861870420001,j,1.0513762079999651,285.452985375,285.9480524589999,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,left,,,,,0,51,51,40,,-0.0075528340003074845,286.44243441699973,287.24014070899966,287.24014070899966,287.73798829199995,288.21910412499983,289.21457166699975,289.21457166699975,289.21457166699975,289.21457166699975,j,1.2603739999999561,290.48705900000004,290.976688792,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,left,,,,,0,52,52,56,,-0.006605416999718727,291.48021312499986,291.8241332499997,291.8241332499997,292.3198269999998,292.8051420839997,294.00350045899995,294.00350045899995,294.00350045899995,294.00350045899995,j,1.9189255830001457,295.93620029199974,,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,right,,,,,0,53,53,26,,0.000917041999855428,296.93572295900003,297.73295933400004,297.73295933400004,298.22802054199974,298.7172935419999,299.71189270900004,299.71189270900004,299.71189270900004,299.71189270900004,f,1.9234145410000565,301.6513889170001,302.1442005419999,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
left,left,,,,,0,54,54,5,,-0.006733917000019574,302.64293037499965,302.99403670899983,302.99403670899983,303.49169783399975,303.9730186669999,305.17049849999967,305.17049849999967,305.17049849999967,305.17049849999967,f,0.7539607490002709,305.93963212499966,306.43817258399986,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,right,,,,,0,55,55,62,,0.00036920899992765044,306.93552279200003,307.73041920900005,307.73041920900005,308.228633834,308.7207309999999,309.91671262499995,309.91671262499995,309.91671262499995,309.91671262499995,j,0.8515261659999851,310.7812986250001,311.2731994999999,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,right,,,,,0,56,56,65,,-0.0049508329998388945,311.77526454200006,312.570585167,312.570585167,313.068767834,313.55394149999984,314.5451455419998,314.5451455419998,314.5451455419998,314.5451455419998,j,1.1576226239999414,315.72097799999983,316.21976025000004,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
right,right,,,,,0,57,57,31,,-0.003112709000106406,316.71771583400005,316.8129518339997,316.8129518339997,317.3140564999999,317.79597941699967,318.78923074999966,318.78923074999966,318.78923074999966,318.78923074999966,j,1.561919708000005,320.36150687500003,320.8617277919998,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
left,right,,,,,0,58,58,34,,0.0008930829999371781,321.36283112499996,322.157814875,322.157814875,322.65816237499985,323.15099845899977,324.350044542,324.350044542,324.350044542,324.350044542,j,1.2977675409997573,325.660762084,326.1563206249998,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,left,,,,,0,59,59,41,,-0.0028028749998156854,326.657528792,326.75421337499984,326.75421337499984,327.25366458400003,327.73565495899993,328.9282914999999,328.9282914999999,328.9282914999999,328.9282914999999,j,1.5090497080000205,330.4469961249997,330.9394509169997,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
left,left,,,,,0,60,60,4,,-0.00543379200007621,331.4410550839998,331.7835514999997,331.7835514999997,332.28569500000003,332.77283254199983,333.7665824589999,333.7665824589999,333.7665824589999,333.7665824589999,j,2.2874399989996164,336.0632513339997,336.5591380420001,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
left,left,,,,,0,61,61,7,,-0.006656749999820022,337.05632225,337.85204216700004,337.85204216700004,338.356187459,338.83552570899974,339.8303955839997,339.8303955839997,339.8303955839997,339.8303955839997,f,2.1439409580002575,341.98632158400005,342.476684709,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
none,left,,,,,0,62,62,57,,-0.006271124999784661,342.9811518339998,343.77878116700003,343.77878116700003,344.28149995900003,344.7609815840001,345.9562435419998,345.9562435419998,345.9562435419998,345.9562435419998,f,2.394109207999918,348.36184612499983,348.8546489999999,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
left,left,,,,,0,63,63,15,,-0.0036945830001968716,349.35480983399975,349.44473179199986,349.44473179199986,349.94021866699995,350.4336559589997,351.4234916669998,351.4234916669998,351.4234916669998,351.4234916669998,f,1.706947417000265,353.13911741699985,353.6339335419998,,,,,,,,,YHH4638574,2023-03-12_21h57.22.756,rdk-discrimination,2023.1.0,None,
